nohup: ignoring input
2024-12-30 00:31:08.597449: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-30 00:31:08.765497: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2024-12-30 00:31:08.765559: I tensorflow/compiler/xla/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2024-12-30 00:31:09.432784: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2024-12-30 00:31:09.432911: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2024-12-30 00:31:09.432928: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
sp------------------------------------------------
name:3pro,index:0
name:4pro,index:1
name:Dji,index:2
name:dao,index:3
name:ha,index:4
Class: 3pro, Images in 'a': 6400, Images in 'b': 6400
Class: 4pro, Images in 'a': 8000, Images in 'b': 7840
Class: Dji, Images in 'a': 6400, Images in 'b': 6400
Class: dao, Images in 'a': 1600, Images in 'b': 640
Class: ha, Images in 'a': 1600, Images in 'b': 1600
Train: [1][10/1430]	BT 0.112 (0.663)	DT 0.000 (0.173)	loss 9.811 (9.811)
Train: [1][20/1430]	BT 0.110 (0.388)	DT 0.000 (0.087)	loss 9.811 (9.811)
Train: [1][30/1430]	BT 0.110 (0.296)	DT 0.000 (0.058)	loss 9.811 (9.811)
Train: [1][40/1430]	BT 0.112 (0.250)	DT 0.000 (0.043)	loss 9.811 (9.811)
Train: [1][50/1430]	BT 0.112 (0.222)	DT 0.000 (0.035)	loss 9.812 (9.811)
Train: [1][60/1430]	BT 0.113 (0.204)	DT 0.000 (0.029)	loss 9.811 (9.811)
Train: [1][70/1430]	BT 0.111 (0.191)	DT 0.000 (0.025)	loss 9.811 (9.811)
Train: [1][80/1430]	BT 0.112 (0.181)	DT 0.000 (0.022)	loss 9.810 (9.811)
Train: [1][90/1430]	BT 0.113 (0.174)	DT 0.000 (0.019)	loss 9.811 (9.811)
Train: [1][100/1430]	BT 0.111 (0.168)	DT 0.000 (0.017)	loss 9.812 (9.811)
Train: [1][110/1430]	BT 0.111 (0.163)	DT 0.000 (0.016)	loss 9.811 (9.811)
Train: [1][120/1430]	BT 0.110 (0.159)	DT 0.000 (0.015)	loss 9.811 (9.811)
Train: [1][130/1430]	BT 0.112 (0.155)	DT 0.000 (0.013)	loss 9.810 (9.811)
Train: [1][140/1430]	BT 0.119 (0.152)	DT 0.000 (0.013)	loss 9.809 (9.811)
Train: [1][150/1430]	BT 0.110 (0.150)	DT 0.000 (0.012)	loss 9.813 (9.811)
Train: [1][160/1430]	BT 0.111 (0.147)	DT 0.000 (0.011)	loss 9.811 (9.811)
Train: [1][170/1430]	BT 0.118 (0.145)	DT 0.000 (0.010)	loss 9.812 (9.811)
Train: [1][180/1430]	BT 0.111 (0.143)	DT 0.000 (0.010)	loss 9.809 (9.811)
Train: [1][190/1430]	BT 0.110 (0.142)	DT 0.000 (0.009)	loss 9.813 (9.811)
Train: [1][200/1430]	BT 0.111 (0.140)	DT 0.000 (0.009)	loss 9.811 (9.812)
Train: [1][210/1430]	BT 0.112 (0.139)	DT 0.000 (0.008)	loss 9.811 (9.812)
Train: [1][220/1430]	BT 0.113 (0.138)	DT 0.000 (0.008)	loss 9.811 (9.812)
Train: [1][230/1430]	BT 0.110 (0.137)	DT 0.000 (0.008)	loss 9.811 (9.812)
Train: [1][240/1430]	BT 0.110 (0.136)	DT 0.000 (0.007)	loss 9.811 (9.812)
